Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer
1,1631619696943,14/09/2021 11:41:36,1631619696647,2,14/09/2021 13:41:36,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1631619698256,14/09/2021 11:41:38,1631619698009,2,14/09/2021 13:41:38,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,1,1,1,Screen 1,button,continue_button,1315.5,null,,null,,0,1,0,,,false,,,Instructions,,
3,1631619700101,14/09/2021 11:41:40,1631619699858,2,14/09/2021 13:41:39,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,2,1,1,Screen 1,advancementZone,continue_button,1833.2000000029802,null,,null,,0,1,0,,,false,,,Instructions Digit Forwards,,
4,1631619700373,14/09/2021 11:41:40,1631619700150,2,14/09/2021 13:41:40,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,3,1,1,Screen 1,fixation,fixation,299.9880000000003,null,,null,,0,1,0,,,false,,,Task,4,
5,1631619700585,14/09/2021 11:41:40,1631619700352,2,14/09/2021 13:41:40,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,3,1,2,Screen 2,Zone2,timelimit_screen,199.99199999999928,null,,,,0,1,0,,,true,,,Task,4,
6,1631619700883,14/09/2021 11:41:40,1631619700650,2,14/09/2021 13:41:40,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,4,2,1,Screen 1,fixation,fixation,299.9880000000003,null,,null,,0,1,0,,,false,,,Task,3,
7,1631619701093,14/09/2021 11:41:41,1631619700850,2,14/09/2021 13:41:40,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,4,2,2,Screen 2,Zone2,timelimit_screen,199.9920000000002,null,,,,0,1,0,,,true,,,Task,3,
8,1631619703604,14/09/2021 11:41:43,1631619703379,2,14/09/2021 13:41:43,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,5,1,1,Screen 1,Zone2,response_text_entry,2509.7000000029802,null,,43,1,1,0,0,,,false,,,Test_Forwards,,43
9,1631619703901,14/09/2021 11:41:43,1631619703667,2,14/09/2021 13:41:43,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,6,3,1,Screen 1,fixation,fixation,299.9880000000003,null,,null,,0,1,0,,,false,,,Task,1,
10,1631619704106,14/09/2021 11:41:44,1631619703866,2,14/09/2021 13:41:43,24227,2,task-zfye,,15711489,,4654236,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1440x900,1440x764,,Digit Span Task (Visual & Text Entry),1,ListA,ListA,6,3,2,Screen 2,Zone2,timelimit_screen,199.9920000000002,null,,,,0,1,0,,,true,,,Task,1,
