earnings,persons,kind,u18,ins,med_exp,div,assist,self_emp,unemp,spanish
10000,3,1,0,0,0,0,0,2,1,1
101000,3,1,0,3800,6300,0,0,2,2,2
0,1,2,0,0,2000,0,0,2,2,2
0,2,2,1,0,0,0,0,2,2,2
60000,1,3,0,1000,200,0,0,1,2,2
0,1,3,0,0,0,0,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
54700,1,2,0,125,200,0,0,2,1,2
0,1,2,0,0,15,0,0,2,2,2
104999,3,3,0,2400,250,3477,0,2,2,2
45000,1,2,0,600,0,0,0,2,2,2
97000,3,1,0,2400,8000,500,0,1,1,2
0,1,2,0,0,0,0,0,2,2,2
115000,5,1,3,16000,150,0,0,2,2,2
0,1,2,0,0,50,0,0,2,2,2
25000,3,3,1,520,536,0,0,2,2,2
25000,2,1,0,0,0,0,0,2,2,2
70000,1,3,0,125,200,0,0,2,2,2
45000,1,2,0,0,0,0,0,2,2,2
26000,2,1,0,1512,900,0,0,2,2,2
15000,1,2,0,0,2000,0,0,2,2,2
30000,3,1,0,0,0,11000,0,2,2,2
30000,1,2,0,1000,5000,0,0,2,2,2
38000,1,3,0,3000,600,0,0,2,2,2
88000,4,1,2,3900,2500,0,0,2,2,2
109800,3,1,1,0,1900,30,0,2,2,2
53000,3,1,1,300,1300,3000,0,2,2,2
7000,2,3,1,0,300,0,0,2,1,2
0,2,3,1,720,450,0,0,2,2,2
0,1,3,0,1440,400,0,0,2,2,2
4820,1,2,0,0,500,0,0,2,2,2
0,1,3,0,2000,200,3000,0,2,2,2
50000,2,1,0,1770,1050,325,0,2,2,2
42000,1,3,0,3640,1550,0,0,2,2,2
88000,1,2,0,0,450,0,0,1,2,2
2000,3,1,0,0,0,2000,0,2,1,2
0,2,1,0,700,5000,13600,0,2,2,2
45000,1,2,0,1000,500,135,0,2,1,2
52200,1,2,0,0,0,0,0,2,2,2
0,2,1,0,700,5000,0,0,2,2,2
60000,1,2,0,2000,200,800,0,2,2,2
0,2,1,0,1200,600,24000,0,2,2,2
114000,2,1,0,5000,1000,100,0,2,2,2
85000,2,1,0,9754,5000,515,0,2,1,2
39000,5,3,3,0,10000,0,0,2,2,2
28000,2,3,1,0,0,0,0,2,2,2
40000,2,2,1,10000,4500,0,0,1,1,2
0,1,2,0,350,2500,0,0,2,2,2
3500,1,3,0,1140,2600,0,0,1,2,2
26100,3,3,2,1500,75,0,0,2,1,2
0,1,2,0,3500,1000,0,0,2,2,2
0,1,3,0,3500,1000,0,0,2,2,2
0,2,1,0,744,20000,2300,0,2,2,2
20000,1,3,0,2000,500,10,0,2,2,2
36000,1,3,0,600,20,0,0,2,2,2
46000,1,2,0,0,200,0,0,1,2,2
285000,6,2,4,300,2236,0,0,2,2,2
0,2,1,0,10000,750,0,0,2,2,2
65000,4,1,2,14400,9000,0,0,2,1,2
50750,2,2,0,2800,600,0,0,1,1,2
125000,4,1,2,12000,9600,0,0,1,2,2
43000,4,3,3,680,1900,0,0,2,2,2
86000,4,1,2,12000,3000,0,0,1,2,2
90000,3,1,1,2752,6635,0,0,2,2,2
25000,3,1,1,0,2000,10000,0,1,2,2
46001,2,1,0,183,2000,0,0,1,2,2
88800,5,1,2,15900,8500,0,0,2,2,2
162000,5,1,3,5084,760,0,0,2,2,2
0,1,3,0,4872,964,0,0,2,2,2
95200,4,1,2,7640,4976,0,0,1,2,2
40000,1,3,0,250,250,0,0,2,2,2
36000,1,2,0,0,99,0,0,1,2,2
14000,2,1,0,6862,350,0,0,1,2,2
135000,3,1,1,6600,1100,0,0,1,1,2
0,1,2,0,2184,12000,500,0,2,2,2
0,1,2,0,7560,8000,5,0,2,2,2
1500,2,1,0,2600,1600,4590,0,2,2,2
20000,2,1,0,10560,8600,0,0,2,2,2
51000,2,1,0,3848,3500,0,0,1,2,2
0,1,2,0,0,800,0,0,2,2,2
0,1,2,0,384,500,0,0,2,1,2
30900,2,3,1,520,600,0,0,1,2,2
53663,3,1,1,6248,1680,0,0,2,1,2
99000,4,1,2,150,600,82,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
0,1,2,0,0,500,0,0,2,1,2
0,1,3,0,0,1000,0,0,2,2,2
57000,2,1,0,5200,10500,0,0,2,1,2
53901,2,1,0,18000,1000,0,0,1,2,2
188002,2,1,0,15000,8000,0,0,2,2,2
16000,3,3,2,0,500,0,0,2,1,2
45000,1,2,0,1820,300,0,0,2,1,2
10000,1,2,0,2000,4000,0,0,2,2,2
0,2,1,0,3360,1000,0,0,2,2,2
335002,3,1,0,8400,1000,0,0,2,2,2
0,4,2,3,0,0,0,0,2,2,2
8000,1,3,0,0,0,0,0,2,1,2
81000,1,2,0,2000,200,0,0,1,2,2
47001,2,1,0,0,1200,1,0,1,2,2
50000,3,1,0,7000,1600,0,0,1,2,2
25000,5,1,2,10104,6000,0,0,2,2,2
0,3,3,2,0,0,0,0,2,2,2
40000,2,1,0,5600,400,100,0,2,2,2
262000,5,1,2,800,3050,7650,0,2,2,2
30000,1,3,0,2860,2000,0,0,2,2,2
40002,1,2,0,0,18000,0,0,1,2,2
0,2,3,1,0,250,0,0,2,2,2
38500,4,3,3,1400,740,0,0,2,2,2
40000,1,2,0,9360,400,0,0,2,2,2
40000,4,1,2,6000,15000,0,0,2,2,2
34000,2,2,1,0,0,0,0,2,2,2
7500,1,3,0,0,0,0,0,2,2,2
58000,2,3,1,0,3500,0,0,2,2,2
35000,3,3,2,0,2000,0,0,2,2,2
20000,1,2,0,0,300,0,0,1,2,2
48000,4,2,1,5560,3000,0,0,2,1,2
35000,2,1,0,5560,3000,0,0,2,1,2
101376,2,3,0,600,0,0,0,2,2,2
0,3,1,0,420,100,0,0,2,2,2
162000,2,1,0,5000,500,0,0,2,2,2
23300,2,3,0,300,0,0,0,2,1,2
18500,2,1,0,1992,0,0,0,2,2,2
28000,1,3,0,0,0,0,0,2,2,2
25000,2,1,0,1728,0,0,0,2,2,2
44800,3,2,0,7162,470,0,0,2,2,2
0,1,3,0,0,30,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
0,1,3,0,0,0,0,0,2,2,2
50000,1,2,0,2400,0,0,0,2,2,2
45000,1,3,0,0,0,0,0,2,1,2
10000,3,3,2,0,0,0,0,2,2,2
0,1,2,0,0,0,0,0,2,2,2
36500,4,1,1,0,0,0,0,2,1,2
9200,5,1,3,300,2000,0,0,1,2,2
