"Date","Price","Open","High","Low","Vol.","Change %"
"May 19, 2022","42.10","40.58","42.10","40.40","1.36M","2.91%"
"May 18, 2022","40.91","40.57","41.00","40.40","2.20M","1.51%"
"May 17, 2022","40.30","41.25","41.25","40.20","1.81M","-1.47%"
"May 16, 2022","40.90","41.50","41.50","40.11","3.87M","-1.45%"
"May 15, 2022","41.50","42.55","42.55","41.50","838.63K","-1.43%"
"May 12, 2022","42.10","42.72","42.76","42.00","2.18M","-1.54%"
"May 11, 2022","42.76","43.16","43.48","42.76","2.21M","-1.04%"
"May 10, 2022","43.21","43.50","43.70","43.01","1.95M","0.21%"
"May 09, 2022","43.12","44.98","45.29","43.12","3.43M","-4.18%"
"May 08, 2022","45.00","44.00","45.25","44.00","1.99M","0.45%"
"Apr 28, 2022","44.80","43.40","44.80","43.08","3.99M","4.14%"
"Apr 27, 2022","43.02","43.22","43.77","43.01","3.05M","0.05%"
"Apr 26, 2022","43.00","42.00","43.00","41.78","2.84M","2.38%"
"Apr 21, 2022","42.00","42.29","42.37","42.00","2.75M","0.33%"
"Apr 20, 2022","41.86","41.80","42.70","41.62","3.38M","-3.99%"
"Apr 19, 2022","43.60","44.80","45.00","43.17","6.26M","-2.72%"
"Apr 18, 2022","44.82","44.63","45.10","43.50","2.66M","0.43%"
"Apr 17, 2022","44.63","43.80","46.00","43.35","3.07M","1.89%"
"Apr 14, 2022","43.80","43.51","44.07","42.60","2.89M","0.67%"
"Apr 13, 2022","43.51","44.00","44.10","43.50","3.45M","-1.11%"
"Apr 12, 2022","44.00","43.10","44.50","43.00","5.01M","1.95%"
"Apr 11, 2022","43.16","43.99","44.00","43.00","4.19M","-2.38%"
"Apr 10, 2022","44.21","45.00","45.00","44.00","2.07M","-2.08%"
"Apr 07, 2022","45.15","46.30","46.35","45.00","5.08M","-2.48%"
"Apr 06, 2022","46.30","46.52","46.76","46.02","2.02M","-0.47%"
"Apr 05, 2022","46.52","47.57","47.57","46.51","3.77M","-2.96%"
"Apr 04, 2022","47.94","48.00","48.19","47.26","5.62M","-0.29%"
"Apr 03, 2022","48.08","46.50","48.46","46.00","1.12M","4.09%"
"Mar 31, 2022","46.19","46.20","46.87","45.40","3.90M","-0.02%"
"Mar 30, 2022","46.20","47.50","47.65","46.20","1.95M","-2.53%"
"Mar 29, 2022","47.40","47.00","47.58","45.75","3.19M","0.47%"
"Mar 28, 2022","47.18","48.00","48.80","47.12","2.25M","-1.71%"
"Mar 27, 2022","48.00","49.16","49.20","47.02","2.78M","-2.18%"
"Mar 24, 2022","49.07","49.70","49.70","49.05","3.16M","-0.87%"
"Mar 23, 2022","49.50","49.20","49.69","48.50","2.27M","0.00%"
"Mar 22, 2022","49.50","49.01","51.00","49.01","6.15M","3.13%"
"Mar 21, 2022","48.00","45.10","48.00","45.10","5.06M","6.90%"
"Mar 20, 2022","44.90","43.25","44.90","43.25","1.47M","3.94%"
"Mar 17, 2022","43.20","42.95","43.35","42.81","7.01M","1.53%"
"Mar 16, 2022","42.55","41.32","43.00","41.32","10.13M","2.28%"
"Mar 15, 2022","41.60","41.69","41.69","41.10","3.78M","-0.24%"
"Mar 14, 2022","41.70","41.98","41.98","40.92","7.60M","-0.71%"
"Mar 13, 2022","42.00","41.00","42.00","40.99","1.55M","2.44%"
"Mar 10, 2022","41.00","40.20","41.00","39.39","5.44M","0.00%"
"Mar 09, 2022","41.00","40.90","41.50","40.22","5.99M","0.74%"
"Mar 08, 2022","40.70","41.90","41.90","40.10","11.91M","-4.91%"
"Mar 07, 2022","42.80","46.10","46.10","42.80","11.34M","-7.16%"
"Mar 06, 2022","46.10","46.00","46.46","45.85","2.21M","-2.95%"
"Mar 03, 2022","47.50","47.25","47.50","46.85","3.16M","1.06%"
"Mar 02, 2022","47.00","47.90","47.90","47.00","3.74M","-1.47%"
"Mar 01, 2022","47.70","48.00","48.30","47.70","3.21M","-0.23%"
"Feb 28, 2022","47.81","48.40","48.90","47.53","3.30M","-1.22%"
"Feb 27, 2022","48.40","48.00","48.60","48.00","1.39M","2.98%"
"Feb 24, 2022","47.00","49.23","49.55","46.35","3.70M","-5.45%"
"Feb 23, 2022","49.71","50.00","50.20","49.60","1.74M","-0.58%"
"Feb 22, 2022","50.00","51.45","51.45","50.00","2.41M","-2.78%"
"Feb 21, 2022","51.43","51.01","51.64","50.25","1.06M","1.64%"
"Feb 20, 2022","50.60","50.50","51.16","50.50","390.63K","-0.78%"
"Feb 17, 2022","51.00","51.50","51.50","50.71","1.21M","-0.97%"
"Feb 16, 2022","51.50","51.00","51.84","51.00","2.92M","0.00%"
"Feb 15, 2022","51.50","50.26","51.50","50.25","678.81K","2.41%"
"Feb 14, 2022","50.29","50.50","50.50","49.51","2.03M","-0.63%"
"Feb 13, 2022","50.61","51.00","51.00","50.30","568.03K","-0.71%"
"Feb 10, 2022","50.97","51.00","51.00","50.67","1.48M","0.14%"
"Feb 09, 2022","50.90","50.80","51.40","50.79","2.12M","0.20%"
"Feb 08, 2022","50.80","51.50","51.50","50.66","1.79M","-0.39%"
"Feb 07, 2022","51.00","51.99","52.30","50.50","2.60M","-1.83%"
"Feb 06, 2022","51.95","51.56","52.00","51.56","324.32K","0.68%"
"Feb 03, 2022","51.60","51.60","51.87","51.36","1.00M","-0.52%"
"Feb 02, 2022","51.87","52.00","52.10","51.70","1.85M","-0.06%"
"Feb 01, 2022","51.90","51.50","51.90","51.50","1.73M","1.09%"
"Jan 31, 2022","51.34","51.82","51.82","51.34","1.41M","-1.02%"
"Jan 30, 2022","51.87","52.00","52.00","51.60","815.56K","0.04%"
"Jan 26, 2022","51.85","51.90","52.20","51.51","624.16K","-0.29%"
"Jan 25, 2022","52.00","52.30","52.50","51.50","1.12M","-1.33%"
"Jan 24, 2022","52.70","51.71","52.90","51.71","6.84M","-0.38%"
"Jan 23, 2022","52.90","52.50","52.90","51.61","246.24K","0.76%"
"Jan 20, 2022","52.50","52.00","52.50","51.10","1.05M","0.96%"
"Jan 19, 2022","52.00","53.00","53.00","52.00","1.87M","-1.89%"
"Jan 18, 2022","53.00","53.01","53.01","52.61","1.47M","-0.38%"
"Jan 17, 2022","53.20","53.05","53.29","53.00","2.60M","0.38%"
"Jan 16, 2022","53.00","53.50","53.80","53.00","728.70K","-1.30%"
"Jan 13, 2022","53.70","53.70","54.00","53.40","3.01M","0.13%"
"Jan 12, 2022","53.63","52.85","53.63","52.85","3.04M","1.48%"
"Jan 11, 2022","52.85","52.82","52.95","52.66","2.23M","0.09%"
"Jan 10, 2022","52.80","52.66","52.92","52.66","1.61M","0.27%"
"Jan 09, 2022","52.66","52.85","52.85","52.49","605.51K","-0.36%"
