"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2010","7,591.05","7,494.39","7,591.16","7,493.65","97.59M","1.66%"
"Apr 27, 2010","7,603.04","7,610.15","7,639.12","7,589.43","94.10M","0.16%"
"Apr 28, 2010","7,500.56","7,580.35","7,580.57","7,487.75","151.11M","-1.35%"
"Apr 29, 2010","7,451.72","7,417.30","7,474.85","7,414.89","122.26M","-0.65%"
"May 02, 2010","7,277.31","7,415.92","7,415.92","7,277.31","94.71M","-2.34%"
"May 03, 2010","7,324.45","7,253.27","7,341.20","7,239.00","86.77M","0.65%"
"May 04, 2010","7,348.91","7,360.35","7,451.09","7,348.91","118.65M","0.33%"
"May 05, 2010","7,176.83","7,260.88","7,260.88","7,148.56","119.50M","-2.34%"
"May 06, 2010","7,116.45","7,130.49","7,162.52","7,116.45","97.37M","-0.84%"
"May 09, 2010","6,756.00","6,750.87","6,759.23","6,700.77","110.41M","-5.07%"
"May 10, 2010","6,974.96","6,884.91","7,012.42","6,884.91","114.18M","3.24%"
"May 11, 2010","6,822.79","6,975.80","6,980.69","6,822.79","129.69M","-2.18%"
"May 12, 2010","6,836.48","6,784.54","6,858.08","6,746.41","82.99M","0.20%"
"May 13, 2010","6,917.13","6,938.84","6,965.85","6,916.60","92.93M","1.18%"
"May 16, 2010","6,694.21","6,804.28","6,804.28","6,694.11","77.77M","-3.22%"
"May 17, 2010","6,641.88","6,695.76","6,703.15","6,607.03","83.80M","-0.78%"
"May 18, 2010","6,761.28","6,668.17","6,791.85","6,668.17","64.32M","1.80%"
"May 19, 2010","6,489.06","6,741.97","6,741.97","6,489.06","104.12M","-4.03%"
"May 20, 2010","6,421.58","6,465.38","6,530.84","6,421.58","94.58M","-1.04%"
"May 23, 2010","6,393.67","6,424.00","6,437.83","6,363.76","56.09M","-0.43%"
"May 24, 2010","6,321.20","6,493.35","6,524.92","6,321.20","78.40M","-1.13%"
"May 25, 2010","5,937.50","6,153.74","6,153.74","5,936.49","106.93M","-6.07%"
"May 26, 2010","6,200.29","5,983.62","6,201.90","5,983.62","121.96M","4.43%"
"May 27, 2010","6,337.51","6,242.84","6,337.51","6,222.01","143.16M","2.21%"
"May 30, 2010","6,517.43","6,444.70","6,561.23","6,444.70","137.39M","2.84%"
"May 31, 2010","6,549.02","6,491.04","6,549.02","6,430.24","110.87M","0.48%"
"Jun 01, 2010","6,437.79","6,600.12","6,601.19","6,437.79","118.86M","-1.70%"
"Jun 02, 2010","6,430.27","6,417.21","6,434.08","6,381.11","101.59M","-0.12%"
"Jun 03, 2010","6,517.94","6,523.20","6,565.54","6,517.61","114.50M","1.36%"
"Jun 06, 2010","6,366.82","6,416.66","6,416.66","6,332.78","74.65M","-2.32%"
"Jun 07, 2010","6,311.92","6,350.88","6,350.88","6,284.70","83.63M","-0.86%"
"Jun 08, 2010","6,312.85","6,337.33","6,390.30","6,312.85","84.95M","0.01%"
"Jun 09, 2010","6,348.16","6,347.24","6,365.25","6,331.96","90.66M","0.56%"
"Jun 10, 2010","6,243.09","6,295.04","6,295.04","6,230.99","77.72M","-1.66%"
"Jun 13, 2010","6,300.84","6,305.94","6,360.73","6,300.84","60.52M","0.93%"
"Jun 14, 2010","6,300.32","6,298.33","6,321.10","6,293.34","87.04M","-0.01%"
"Jun 15, 2010","6,284.83","6,278.12","6,291.64","6,252.60","137.86M","-0.25%"
"Jun 16, 2010","6,348.25","6,291.81","6,366.32","6,291.81","87.98M","1.01%"
"Jun 17, 2010","6,418.39","6,346.79","6,418.63","6,342.33","97.50M","1.10%"
"Jun 20, 2010","6,519.09","6,435.52","6,519.29","6,435.52","87.42M","1.57%"
"Jun 21, 2010","6,547.13","6,579.04","6,600.68","6,547.13","92.41M","0.43%"
"Jun 22, 2010","6,355.05","6,519.36","6,519.36","6,355.05","56.70M","-2.93%"
"Jun 23, 2010","6,318.63","6,311.44","6,318.63","6,281.00","63.93M","-0.57%"
"Jun 24, 2010","6,307.27","6,334.16","6,361.90","6,307.27","45.55M","-0.18%"
"Jun 27, 2010","6,290.90","6,308.27","6,308.27","6,253.58","26.58M","-0.26%"
"Jun 28, 2010","6,256.48","6,285.17","6,297.22","6,256.48","53.97M","-0.55%"
"Jun 29, 2010","6,120.71","6,238.54","6,238.54","6,099.94","62.54M","-2.17%"
"Jun 30, 2010","6,033.09","6,100.11","6,100.11","6,028.81","74.29M","-1.43%"
"Jul 04, 2010","5,895.55","5,996.14","5,996.14","5,895.55","45.33M","-2.28%"
"Jul 05, 2010","5,850.38","5,895.65","5,895.65","5,814.24","56.15M","-0.77%"
"Jul 06, 2010","6,020.97","5,902.87","6,021.49","5,902.71","51.12M","2.92%"
"Jul 07, 2010","5,944.93","6,054.23","6,054.85","5,940.46","56.26M","-1.26%"
"Jul 08, 2010","6,026.87","6,033.67","6,074.90","6,026.87","66.34M","1.38%"
"Jul 11, 2010","6,108.29","6,080.01","6,114.57","6,077.19","59.77M","1.35%"
"Jul 12, 2010","5,994.96","6,109.39","6,109.39","5,994.92","62.55M","-1.86%"
"Jul 13, 2010","6,030.38","5,959.08","6,030.38","5,957.10","57.03M","0.59%"
"Jul 14, 2010","6,057.27","6,084.97","6,105.74","6,057.20","88.27M","0.45%"
"Jul 15, 2010","6,049.19","6,040.11","6,063.64","6,019.49","46.27M","-0.13%"
"Jul 18, 2010","5,974.59","6,009.22","6,011.52","5,959.49","36.24M","-1.23%"
"Jul 19, 2010","5,989.73","5,974.24","5,998.05","5,965.20","37.74M","0.25%"
"Jul 20, 2010","5,914.22","5,989.72","6,005.32","5,914.22","66.08M","-1.26%"
"Jul 21, 2010","5,967.53","5,911.61","5,969.47","5,911.58","48.39M","0.90%"
"Jul 22, 2010","6,029.03","5,953.11","6,030.34","5,951.24","87.96M","1.03%"
"Jul 25, 2010","6,111.95","6,089.64","6,130.91","6,089.64","88.34M","1.38%"
"Jul 26, 2010","6,115.93","6,109.33","6,116.78","6,087.71","98.47M","0.07%"
"Jul 27, 2010","6,193.28","6,153.77","6,194.04","6,153.77","109.96M","1.26%"
"Jul 28, 2010","6,226.18","6,191.55","6,248.47","6,187.87","93.11M","0.53%"
"Jul 29, 2010","6,316.52","6,222.89","6,316.52","6,212.55","73.81M","1.45%"
"Aug 01, 2010","6,363.50","6,353.69","6,378.02","6,353.32","71.82M","0.74%"
"Aug 02, 2010","6,305.89","6,364.57","6,364.57","6,304.03","74.68M","-0.91%"
"Aug 03, 2010","6,317.35","6,316.48","6,387.43","6,316.48","98.24M","0.18%"
"Aug 04, 2010","6,307.83","6,309.29","6,309.29","6,273.62","57.00M","-0.15%"
"Aug 05, 2010","6,407.06","6,361.45","6,411.66","6,361.45","83.99M","1.57%"
"Aug 08, 2010","6,388.77","6,405.42","6,409.93","6,388.77","43.70M","-0.29%"
"Aug 09, 2010","6,442.14","6,392.86","6,448.17","6,392.73","86.99M","0.84%"
"Aug 10, 2010","6,461.40","6,444.70","6,465.19","6,435.46","66.73M","0.30%"
"Aug 11, 2010","6,373.43","6,456.67","6,456.67","6,373.43","58.91M","-1.36%"
"Aug 12, 2010","6,333.14","6,370.28","6,370.28","6,322.55","55.22M","-0.63%"
"Aug 15, 2010","6,302.97","6,332.22","6,369.40","6,302.97","29.79M","-0.48%"
"Aug 16, 2010","6,282.82","6,302.84","6,302.84","6,277.23","29.93M","-0.32%"
