"Date","Price","Open","High","Low","Vol.","Change %"
"May 24, 2010","19.28","20.50","20.79","18.40","3.09M","2.01%"
"May 25, 2010","17.63","18.45","18.45","17.10","2.63M","-8.56%"
"May 26, 2010","18.01","17.81","18.30","17.70","2.65M","2.16%"
"May 27, 2010","18.71","18.15","19.25","18.15","2.15M","3.89%"
"May 30, 2010","18.82","19.19","19.19","18.50","1.06M","0.59%"
"May 31, 2010","18.87","18.75","19.14","18.36","849.86K","0.27%"
"Jun 01, 2010","18.52","18.83","19.00","18.39","1.11M","-1.85%"
"Jun 02, 2010","18.97","18.41","19.25","18.41","1.09M","2.43%"
"Jun 03, 2010","19.08","19.30","19.39","18.75","842.03K","0.58%"
"Jun 06, 2010","19.00","18.51","19.35","18.44","1.20M","-0.42%"
"Jun 07, 2010","18.61","18.63","18.94","18.40","877.07K","-2.05%"
"Jun 08, 2010","18.49","18.80","18.81","18.07","742.59K","-0.64%"
"Jun 09, 2010","18.70","18.74","18.95","18.46","625.27K","1.14%"
"Jun 10, 2010","18.77","18.70","18.99","18.57","645.33K","0.37%"
"Jun 13, 2010","18.74","18.96","19.05","18.51","511.09K","-0.16%"
"Jun 14, 2010","18.75","18.71","18.91","18.56","435.93K","0.05%"
"Jun 15, 2010","18.59","18.67","18.70","18.38","733.94K","-0.85%"
"Jun 16, 2010","18.65","18.79","18.85","18.44","628.60K","0.32%"
"Jun 17, 2010","18.63","18.68","18.77","18.54","2.07M","-0.11%"
"Jun 20, 2010","18.82","18.70","18.90","18.61","1.25M","1.02%"
"Jun 21, 2010","19.14","18.93","19.35","18.90","2.05M","1.70%"
"Jun 22, 2010","18.98","19.03","19.24","18.80","779.28K","-0.84%"
"Jun 23, 2010","18.83","18.80","19.00","18.73","750.45K","-0.79%"
"Jun 24, 2010","18.84","19.15","19.19","18.73","1.40M","0.05%"
"Jun 27, 2010","18.69","18.85","18.85","18.53","499.10K","-0.80%"
"Jun 28, 2010","18.62","18.75","18.77","18.49","882.38K","-0.37%"
"Jun 29, 2010","18.05","18.59","18.71","17.55","1.47M","-3.06%"
"Jun 30, 2010","17.58","17.99","18.06","17.26","2.04M","-2.60%"
"Jul 04, 2010","16.94","17.01","17.30","16.62","373.20K","-3.64%"
"Jul 05, 2010","16.77","16.75","16.89","16.67","511.55K","-1.00%"
"Jul 06, 2010","17.01","16.82","17.12","16.81","954.76K","1.43%"
"Jul 07, 2010","16.33","16.90","16.90","16.15","1.54M","-4.00%"
"Jul 08, 2010","16.75","16.72","16.84","16.57","4.79M","2.57%"
"Jul 11, 2010","17.02","16.85","17.15","16.85","981.31K","1.61%"
"Jul 12, 2010","16.57","17.00","17.00","16.40","579.86K","-2.64%"
"Jul 13, 2010","16.88","16.76","16.99","16.65","590.92K","1.87%"
"Jul 14, 2010","17.14","17.05","17.25","17.00","1.88M","1.54%"
"Jul 15, 2010","17.35","17.15","17.60","17.02","1.52M","1.23%"
"Jul 18, 2010","17.10","16.93","17.27","16.91","267.27K","-1.44%"
"Jul 19, 2010","17.00","17.19","17.19","16.90","509.28K","-0.58%"
"Jul 20, 2010","16.45","17.15","17.15","15.80","1.22M","-3.24%"
"Jul 21, 2010","16.55","16.33","16.70","16.33","693.75K","0.61%"
"Jul 22, 2010","16.72","16.42","16.95","16.26","834.76K","1.03%"
"Jul 25, 2010","17.20","17.00","17.35","17.00","890.14K","2.87%"
"Jul 26, 2010","17.31","17.22","17.48","17.10","882.27K","0.64%"
"Jul 27, 2010","17.71","17.32","17.96","17.32","1.16M","2.31%"
"Jul 28, 2010","17.75","17.92","17.93","17.51","966.11K","0.23%"
"Jul 29, 2010","18.08","17.65","18.35","17.65","1.88M","1.86%"
"Aug 01, 2010","18.34","18.21","18.64","17.93","1.38M","1.44%"
"Aug 02, 2010","18.16","18.27","18.35","17.95","1.57M","-0.98%"
"Aug 03, 2010","17.97","18.30","18.30","17.81","760.68K","-1.05%"
"Aug 04, 2010","17.93","17.95","18.09","17.83","406.35K","-0.22%"
"Aug 05, 2010","18.41","18.15","18.56","18.15","1.55M","2.68%"
"Aug 08, 2010","18.57","18.50","18.69","18.41","796.88K","0.87%"
"Aug 09, 2010","18.48","18.57","18.70","18.26","567.57K","-0.48%"
"Aug 10, 2010","18.37","18.45","18.59","18.12","260.11K","-0.60%"
"Aug 11, 2010","18.07","18.48","18.49","17.97","749.10K","-1.63%"
"Aug 12, 2010","17.94","17.88","18.10","17.85","290.16K","-0.72%"
"Aug 15, 2010","17.82","18.00","18.02","17.71","143.41K","-0.67%"
"Aug 16, 2010","17.92","17.75","18.15","17.75","299.59K","0.56%"
"Aug 17, 2010","18.12","18.19","18.30","18.01","536.47K","1.12%"
"Aug 18, 2010","18.03","18.23","18.30","17.90","372.18K","-0.50%"
"Aug 19, 2010","18.05","18.20","18.20","17.99","191.79K","0.11%"
"Aug 22, 2010","17.97","17.95","18.05","17.93","163.45K","-0.44%"
"Aug 23, 2010","18.13","18.00","18.25","18.00","460.17K","0.89%"
"Aug 24, 2010","18.36","18.10","18.52","18.00","836.31K","1.27%"
"Aug 25, 2010","18.09","18.22","18.30","18.00","601.65K","-1.47%"
"Aug 26, 2010","18.40","18.34","18.52","18.25","772.36K","1.71%"
"Aug 29, 2010","18.35","18.52","18.55","18.25","214.06K","-0.27%"
"Aug 30, 2010","18.26","18.39","18.47","18.15","289.62K","-0.49%"
"Aug 31, 2010","18.17","18.15","18.40","18.00","325.31K","-0.49%"
"Sep 01, 2010","18.66","18.44","18.77","18.44","952.97K","2.70%"
"Sep 02, 2010","18.78","18.80","18.90","18.65","300.80K","0.64%"
"Sep 05, 2010","18.68","18.88","18.95","18.60","359.28K","-0.53%"
"Sep 06, 2010","18.60","18.68","18.81","18.27","771.75K","-0.43%"
"Sep 07, 2010","18.28","18.31","18.45","18.18","948.29K","-1.72%"
"Sep 08, 2010","18.72","18.44","18.92","18.43","752.74K","2.41%"
"Sep 13, 2010","19.09","18.90","19.34","18.83","1.35M","1.98%"
"Sep 14, 2010","19.31","19.10","19.68","19.00","2.15M","1.15%"
"Sep 15, 2010","19.09","19.01","19.30","19.00","540.75K","-1.14%"
"Sep 16, 2010","19.04","19.03","19.29","19.00","409.97K","-0.26%"
"Sep 19, 2010","19.13","19.05","19.21","18.95","640.40K","0.47%"
"Sep 20, 2010","19.20","19.17","19.46","19.01","762.41K","0.37%"
"Sep 21, 2010","19.36","19.16","19.49","19.16","516.78K","0.83%"
"Sep 22, 2010","19.35","19.34","19.44","19.20","636.30K","-0.05%"
"Sep 23, 2010","19.42","19.43","19.55","19.26","400.67K","0.36%"
"Sep 26, 2010","19.58","19.58","19.82","19.33","780.90K","0.82%"
"Sep 27, 2010","19.53","19.54","19.80","19.37","749.71K","-0.26%"
"Sep 28, 2010","19.39","19.36","19.50","19.30","376.56K","-0.72%"
"Sep 29, 2010","19.32","19.45","19.64","19.20","553.05K","-0.36%"
"Sep 30, 2010","19.25","19.28","19.37","19.19","1.10M","-0.36%"
"Oct 03, 2010","19.27","19.35","19.44","19.14","580.09K","0.10%"
"Oct 04, 2010","19.46","19.38","19.72","19.18","1.19M","0.99%"
"Oct 05, 2010","19.04","19.40","19.40","18.80","1.08M","-2.16%"
"Oct 07, 2010","18.90","19.00","19.10","18.70","1.41M","-0.74%"
"Oct 10, 2010","18.96","19.00","19.06","18.81","614.84K","0.32%"
"Oct 11, 2010","19.11","19.00","19.25","18.99","888.48K","0.79%"
"Oct 12, 2010","19.57","19.05","19.75","19.05","2.05M","2.41%"
"Oct 13, 2010","20.21","19.60","20.50","19.60","2.45M","3.27%"
"Oct 14, 2010","20.38","20.42","20.70","20.06","1.02M","0.84%"
"Oct 17, 2010","20.34","20.12","20.55","20.12","175.43K","-0.20%"
"Oct 18, 2010","20.28","20.18","20.47","20.10","327.40K","-0.29%"
"Oct 19, 2010","20.07","20.25","20.30","19.96","588.06K","-1.04%"
"Oct 20, 2010","19.75","19.94","20.05","19.37","1.26M","-1.59%"
"Oct 21, 2010","20.26","20.15","20.41","20.04","434.06K","2.58%"
"Oct 24, 2010","20.06","20.15","20.30","19.88","219.41K","-0.99%"
"Oct 25, 2010","19.96","20.00","20.10","19.85","525.11K","-0.50%"
"Oct 26, 2010","19.64","19.92","19.96","19.32","1.12M","-1.60%"
"Oct 27, 2010","19.19","19.50","19.55","18.86","914.29K","-2.29%"
"Oct 28, 2010","18.78","19.00","19.29","18.51","1.34M","-2.14%"
"Oct 31, 2010","18.44","18.94","18.94","18.17","426.44K","-1.81%"
"Nov 01, 2010","18.00","18.21","18.35","17.89","746.00K","-2.39%"
"Nov 02, 2010","18.11","18.28","18.28","18.00","365.98K","0.61%"
"Nov 03, 2010","18.59","18.07","18.88","18.07","966.19K","2.65%"
"Nov 04, 2010","18.79","18.85","19.16","18.57","799.90K","1.08%"
"Nov 07, 2010","18.90","19.00","19.19","18.73","226.62K","0.59%"
"Nov 08, 2010","18.68","18.77","18.85","18.56","460.43K","-1.16%"
"Nov 09, 2010","18.77","18.68","18.95","18.63","292.43K","0.48%"
"Nov 10, 2010","18.50","18.90","18.90","18.25","389.23K","-1.44%"
"Nov 11, 2010","18.30","18.56","18.56","18.20","148.19K","-1.08%"
"Nov 14, 2010","18.34","18.30","18.56","18.18","378.75K","0.22%"
"Nov 18, 2010","18.48","18.40","18.69","18.29","902.82K","0.76%"
"Nov 21, 2010","18.97","18.60","19.20","18.57","928.98K","2.65%"
"Nov 22, 2010","19.27","19.19","19.37","19.12","903.65K","1.58%"
"Nov 23, 2010","18.96","19.08","19.09","18.77","607.13K","-1.61%"
"Nov 24, 2010","18.68","18.90","18.95","18.57","591.35K","-1.48%"
"Nov 25, 2010","18.64","18.79","18.85","18.53","275.00K","-0.21%"
"Nov 28, 2010","18.55","18.79","18.90","18.48","294.68K","-0.48%"
"Nov 29, 2010","18.57","18.58","18.80","18.46","676.63K","0.11%"
"Nov 30, 2010","18.12","18.70","18.73","17.85","1.51M","-2.42%"
"Dec 01, 2010","18.03","18.25","18.30","17.82","1.11M","-0.50%"
"Dec 02, 2010","17.85","18.24","18.25","17.72","1.03M","-1.00%"
"Dec 05, 2010","18.50","17.92","18.80","17.92","2.01M","3.64%"
"Dec 06, 2010","18.60","18.74","18.92","18.40","851.96K","0.54%"
"Dec 08, 2010","18.72","18.60","18.85","18.50","1.13M","0.65%"
"Dec 09, 2010","18.99","18.84","19.15","18.82","2.10M","1.44%"
"Dec 12, 2010","19.10","19.15","19.26","19.00","900.12K","0.58%"
"Dec 13, 2010","18.95","19.04","19.15","18.84","944.53K","-0.79%"
"Dec 14, 2010","19.04","19.00","19.20","18.85","1.05M","0.47%"
"Dec 15, 2010","18.88","19.00","19.16","18.51","1.59M","-0.84%"
"Dec 16, 2010","18.54","18.64","18.70","18.38","430.91K","-1.80%"
"Dec 19, 2010","18.57","18.50","18.80","18.40","224.48K","0.16%"
"Dec 20, 2010","18.72","18.60","18.80","18.60","670.58K","0.81%"
"Dec 21, 2010","18.66","18.75","18.84","18.53","684.79K","-0.32%"
"Dec 22, 2010","18.58","18.74","18.75","18.52","418.54K","-0.43%"
"Dec 23, 2010","18.50","18.60","18.62","18.40","620.16K","-0.43%"
"Dec 26, 2010","18.35","18.55","18.55","18.25","499.31K","-0.81%"
"Dec 27, 2010","18.42","18.35","18.55","18.32","728.87K","0.38%"
"Dec 28, 2010","18.96","18.53","19.19","18.42","1.65M","2.93%"
"Dec 29, 2010","19.15","19.17","19.38","18.98","858.82K","1.00%"
"Dec 30, 2010","19.60","19.34","19.76","19.25","826.95K","2.35%"
"Jan 02, 2011","19.55","19.62","19.80","19.27","897.46K","-0.26%"
"Jan 03, 2011","19.65","19.50","19.94","19.19","1.35M","0.51%"
"Jan 04, 2011","20.28","19.90","20.50","19.90","2.54M","3.21%"
"Jan 05, 2011","20.28","20.30","20.40","20.13","1.05M","0.00%"
"Jan 06, 2011","20.30","20.25","20.55","20.12","1.24M","0.10%"
"Jan 10, 2011","20.86","20.55","21.00","20.50","1.28M","2.76%"
"Jan 11, 2011","21.06","20.85","21.40","20.78","905.01K","0.96%"
"Jan 12, 2011","21.35","21.33","21.50","20.91","4.67M","1.38%"
"Jan 13, 2011","21.07","21.07","21.20","21.00","221.21K","-1.31%"
"Jan 16, 2011","20.34","21.10","21.10","19.87","1.10M","-3.46%"
