"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2010","27.84","28.28","28.28","26.89","2.43M","-2.28%"
"May 06, 2010","26.91","27.28","27.28","26.49","1.38M","-3.34%"
"May 09, 2010","25.17","24.79","25.97","24.04","1.39M","-6.47%"
"May 10, 2010","26.65","26.00","27.15","26.00","1.89M","5.88%"
"May 11, 2010","25.89","26.88","26.88","25.23","1.29M","-2.85%"
"May 12, 2010","25.84","25.69","26.24","25.32","871.27K","-0.19%"
"May 13, 2010","26.09","26.00","26.40","25.65","1.84M","0.97%"
"May 16, 2010","25.63","25.60","26.00","24.96","1.02M","-1.76%"
"May 17, 2010","25.05","25.29","25.62","24.69","2.27M","-2.26%"
"May 18, 2010","25.25","25.05","25.60","24.93","937.46K","0.80%"
"May 19, 2010","24.31","25.18","25.18","23.76","1.61M","-3.72%"
"May 20, 2010","23.56","23.80","24.80","22.80","692.62K","-3.09%"
"May 23, 2010","23.32","23.24","24.16","22.85","607.13K","-1.02%"
"May 24, 2010","22.73","24.01","24.16","21.33","1.57M","-2.53%"
"May 25, 2010","21.10","21.44","21.76","20.40","1.38M","-7.17%"
"May 26, 2010","22.59","21.64","23.11","21.64","2.98M","7.06%"
"May 27, 2010","22.98","22.95","23.56","22.26","1.36M","1.73%"
"May 30, 2010","23.81","23.22","24.15","23.22","1.70M","3.61%"
"May 31, 2010","24.34","23.52","24.81","23.20","1.09M","2.23%"
"Jun 01, 2010","23.25","24.42","24.42","22.82","1.36M","-4.48%"
"Jun 02, 2010","23.28","23.20","23.62","23.04","1.61M","0.13%"
"Jun 03, 2010","23.67","23.65","23.98","23.45","760.45K","1.68%"
"Jun 06, 2010","23.40","23.20","23.72","22.86","1.49M","-1.14%"
"Jun 07, 2010","23.26","23.20","23.59","22.94","1.74M","-0.60%"
"Jun 08, 2010","23.43","23.44","23.68","23.22","1.96M","0.73%"
"Jun 09, 2010","23.61","23.34","23.84","23.34","532.78K","0.77%"
"Jun 10, 2010","23.19","23.13","23.32","22.98","1.25M","-1.78%"
"Jun 13, 2010","23.53","23.52","23.87","23.38","336.19K","1.47%"
"Jun 14, 2010","23.71","23.44","23.97","23.44","564.47K","0.76%"
"Jun 15, 2010","23.76","23.80","23.92","23.52","203.65K","0.21%"
"Jun 16, 2010","24.03","23.97","24.30","23.76","2.09M","1.14%"
"Jun 17, 2010","24.38","24.00","24.57","24.00","686.69K","1.46%"
"Jun 20, 2010","24.99","24.59","25.32","24.54","754.04K","2.50%"
"Jun 21, 2010","25.06","25.41","25.60","24.41","1.75M","0.28%"
"Jun 22, 2010","24.17","24.41","24.76","23.85","926.10K","-3.55%"
"Jun 23, 2010","24.04","24.00","24.39","23.80","1.15M","-0.54%"
"Jun 24, 2010","24.24","24.48","24.55","24.00","604.98K","0.83%"
"Jun 27, 2010","24.22","24.02","24.40","23.94","199.76K","-0.08%"
"Jun 28, 2010","24.28","24.47","24.48","24.12","363.55K","0.25%"
"Jun 29, 2010","23.94","24.00","24.20","23.59","1.75M","-1.40%"
"Jun 30, 2010","23.36","23.84","23.92","23.13","2.74M","-2.42%"
"Jul 04, 2010","23.34","23.21","23.73","23.09","274.67K","-0.09%"
"Jul 05, 2010","23.18","23.22","23.48","22.90","1.44M","-0.69%"
"Jul 06, 2010","23.94","23.38","26.40","23.38","1.11M","3.28%"
"Jul 07, 2010","23.37","24.00","24.00","23.06","1.10M","-2.38%"
"Jul 08, 2010","23.64","23.70","23.94","23.40","687.48K","1.16%"
"Jul 11, 2010","24.00","24.00","24.22","23.66","1.27M","1.52%"
"Jul 12, 2010","23.66","23.99","23.99","23.54","1.01M","-1.42%"
"Jul 13, 2010","22.35","22.30","22.72","22.02","1.86M","-5.54%"
"Jul 14, 2010","22.35","22.55","22.60","22.20","1.22M","0.00%"
"Jul 15, 2010","22.30","22.14","22.46","22.14","784.38K","-0.22%"
"Jul 18, 2010","21.91","21.86","22.10","21.76","335.52K","-1.75%"
"Jul 19, 2010","22.01","21.84","22.16","21.84","503.16K","0.46%"
"Jul 20, 2010","21.63","22.00","22.01","21.30","1.19M","-1.73%"
"Jul 21, 2010","21.78","21.69","22.10","21.33","745.94K","0.69%"
"Jul 22, 2010","22.12","21.74","22.28","21.73","1.24M","1.56%"
"Jul 25, 2010","22.36","22.40","22.47","22.16","1.00M","1.08%"
"Jul 26, 2010","22.22","22.17","22.34","22.00","1.04M","-0.63%"
"Jul 27, 2010","22.16","22.36","22.36","21.94","1.65M","-0.27%"
"Jul 28, 2010","22.28","22.27","22.47","22.08","1.60M","0.54%"
"Jul 29, 2010","22.45","22.24","22.83","22.18","4.05M","0.76%"
"Aug 01, 2010","22.22","22.59","22.59","22.10","756.67K","-1.02%"
"Aug 02, 2010","22.11","22.18","22.35","22.00","1.26M","-0.50%"
"Aug 03, 2010","22.11","22.36","22.37","21.96","832.98K","0.00%"
"Aug 04, 2010","22.17","22.00","22.39","22.00","3.23M","0.27%"
"Aug 05, 2010","22.43","22.48","22.63","22.27","4.85M","1.17%"
"Aug 08, 2010","22.40","22.48","22.54","22.24","629.00K","-0.13%"
"Aug 09, 2010","22.49","22.37","22.64","22.31","1.38M","0.40%"
"Aug 10, 2010","22.39","22.40","22.51","22.26","594.35K","-0.44%"
"Aug 11, 2010","22.26","22.32","22.51","21.96","1.14M","-0.58%"
"Aug 12, 2010","22.10","22.00","22.24","21.85","677.91K","-0.72%"
"Aug 15, 2010","22.02","22.10","22.39","21.88","244.53K","-0.36%"
"Aug 16, 2010","21.97","22.14","22.14","21.91","672.95K","-0.23%"
"Aug 17, 2010","22.50","22.59","22.62","22.32","1.81M","2.41%"
"Aug 18, 2010","22.49","22.56","22.70","22.32","1.58M","-0.04%"
"Aug 19, 2010","22.41","22.32","22.54","22.31","1.57M","-0.36%"
"Aug 22, 2010","22.55","22.40","22.78","22.32","1.21M","0.62%"
"Aug 23, 2010","22.99","22.46","23.20","22.46","3.62M","1.95%"
"Aug 24, 2010","23.10","22.96","23.27","22.88","1.30M","0.48%"
"Aug 25, 2010","22.79","23.00","23.04","22.66","1.17M","-1.34%"
"Aug 26, 2010","23.23","23.03","23.42","22.96","2.96M","1.93%"
"Aug 29, 2010","23.29","23.44","23.44","23.16","287.90K","0.26%"
"Aug 30, 2010","23.30","23.20","23.42","23.07","370.24K","0.04%"
"Aug 31, 2010","23.13","23.05","23.34","22.90","1.11M","-0.73%"
"Sep 01, 2010","23.50","23.36","23.60","23.20","2.08M","1.60%"
"Sep 02, 2010","23.65","23.52","23.90","23.46","1.23M","0.64%"
"Sep 05, 2010","23.64","23.75","23.79","23.44","790.73K","-0.04%"
"Sep 06, 2010","23.59","23.52","23.78","23.44","1.32M","-0.21%"
"Sep 07, 2010","23.39","23.41","23.52","23.26","876.94K","-0.85%"
