"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2010","6.330","6.120","6.480","6.120","1.38M","183.86%"
"Apr 26, 2010","6.490","6.440","6.550","6.400","825.44K","2.53%"
"Apr 27, 2010","6.640","6.540","6.800","6.350","2.07M","2.31%"
"Apr 28, 2010","6.510","6.580","6.690","6.370","1.63M","-1.96%"
"Apr 29, 2010","6.400","6.530","6.550","6.260","998.10K","-1.69%"
"May 02, 2010","6.170","6.420","6.420","6.050","1.03M","-3.59%"
"May 03, 2010","6.230","6.200","6.370","6.080","1.30M","0.97%"
"May 04, 2010","6.080","6.250","6.330","6.010","1.64M","-2.41%"
"May 05, 2010","6.040","6.010","6.140","5.950","1.21M","-0.66%"
"May 06, 2010","6.040","6.000","6.110","6.000","453.94K","0.00%"
"May 09, 2010","5.810","5.870","5.910","5.720","1.93M","-3.81%"
"May 10, 2010","5.930","5.910","6.070","5.830","1.18M","2.07%"
"May 11, 2010","5.910","5.980","6.030","5.750","1.46M","-0.34%"
"May 12, 2010","5.800","5.830","5.890","5.720","807.92K","-1.86%"
"May 13, 2010","5.850","5.930","5.950","5.800","505.54K","0.86%"
"May 16, 2010","5.520","5.720","5.720","5.410","831.33K","-5.64%"
"May 17, 2010","5.390","5.400","5.590","5.210","1.47M","-2.36%"
"May 18, 2010","5.370","5.310","5.490","5.310","1.65M","-0.37%"
"May 19, 2010","5.160","5.360","5.360","5.000","2.90M","-3.91%"
"May 20, 2010","5.250","5.220","5.400","5.100","1.99M","1.74%"
"May 23, 2010","5.350","5.300","5.530","5.250","1.31M","1.90%"
"May 24, 2010","5.440","5.580","5.590","5.370","3.00M","1.68%"
"May 25, 2010","5.260","5.340","5.380","5.170","1.28M","-3.31%"
"May 26, 2010","5.440","5.310","5.580","5.290","3.23M","3.42%"
"May 27, 2010","5.580","5.500","5.650","5.390","1.50M","2.57%"
"May 30, 2010","5.480","5.590","5.670","5.370","890.65K","-1.79%"
"May 31, 2010","5.570","5.430","5.740","5.380","1.27M","1.64%"
"Jun 01, 2010","5.400","5.530","5.600","5.310","748.95K","-3.05%"
"Jun 02, 2010","5.380","5.400","5.460","5.300","1.19M","-0.37%"
"Jun 03, 2010","5.490","5.490","5.600","5.390","3.98M","2.04%"
"Jun 06, 2010","5.470","5.470","5.540","5.370","1.53M","-0.36%"
"Jun 07, 2010","5.400","5.370","5.470","5.350","893.67K","-1.28%"
"Jun 08, 2010","5.320","5.460","5.460","5.210","1.86M","-1.48%"
"Jun 09, 2010","5.370","5.340","5.500","5.300","1.36M","0.94%"
"Jun 10, 2010","5.300","5.260","5.360","5.220","600.61K","-1.30%"
"Jun 13, 2010","5.270","5.300","5.310","5.250","136.51K","-0.57%"
"Jun 14, 2010","5.320","5.320","5.380","5.260","786.36K","0.95%"
"Jun 15, 2010","5.280","5.320","5.350","5.240","185.29K","-0.75%"
"Jun 16, 2010","5.270","5.360","5.400","5.180","554.83K","-0.19%"
"Jun 17, 2010","5.370","5.300","5.480","5.260","1.65M","1.90%"
"Jun 20, 2010","5.460","5.450","5.500","5.380","777.62K","1.68%"
"Jun 21, 2010","5.420","5.470","5.480","5.350","1.27M","-0.73%"
"Jun 22, 2010","5.280","5.420","5.420","5.100","2.42M","-2.58%"
"Jun 23, 2010","5.200","5.200","5.220","5.160","1.43M","-1.52%"
"Jun 24, 2010","5.160","5.210","5.230","5.120","474.82K","-0.77%"
"Jun 27, 2010","5.110","5.120","5.160","5.090","408.00K","-0.97%"
"Jun 28, 2010","5.040","5.110","5.150","4.980","314.34K","-1.37%"
"Jun 29, 2010","4.950","5.050","5.230","4.800","1.81M","-1.79%"
"Jun 30, 2010","4.890","4.930","4.990","4.820","1.07M","-1.21%"
"Jul 04, 2010","4.820","4.930","4.940","4.750","157.44K","-1.43%"
"Jul 05, 2010","4.650","4.750","4.770","4.530","1.05M","-3.53%"
"Jul 06, 2010","4.710","4.700","4.790","4.650","516.65K","1.29%"
"Jul 07, 2010","4.470","4.680","4.700","4.380","2.04M","-5.10%"
"Jul 08, 2010","4.510","4.550","4.630","4.440","1.28M","0.89%"
"Jul 11, 2010","4.520","4.570","4.610","4.450","1.76M","0.22%"
"Jul 12, 2010","4.350","4.500","4.520","4.250","4.93M","-3.76%"
"Jul 13, 2010","4.420","4.290","4.500","4.280","2.67M","1.61%"
