"Date","Price","Open","High","Low","Vol.","Change %"
"May 03, 2010","42.95","42.57","43.27","42.57","137.24K","140.21%"
"May 04, 2010","42.77","43.20","43.43","42.01","127.23K","-0.42%"
"May 05, 2010","42.09","42.14","42.89","41.09","177.70K","-1.59%"
"May 06, 2010","42.39","42.60","42.88","41.73","94.32K","0.71%"
"May 09, 2010","40.57","40.80","41.12","40.24","307.01K","-4.29%"
"May 10, 2010","41.64","41.11","42.59","40.83","210.89K","2.64%"
"May 11, 2010","42.04","41.78","43.02","40.83","242.93K","0.96%"
"May 12, 2010","41.95","41.92","42.49","41.42","139.12K","-0.21%"
"May 13, 2010","41.61","41.72","42.43","41.13","77.92K","-0.81%"
"May 16, 2010","40.75","40.53","40.83","40.53","225.20K","-2.07%"
"May 17, 2010","40.26","40.74","41.41","39.11","97.02K","-1.20%"
"May 18, 2010","41.96","40.83","42.33","40.83","404.64K","4.22%"
"May 19, 2010","40.54","41.44","41.72","39.94","178.49K","-3.38%"
"May 20, 2010","39.62","40.30","40.77","38.46","209.43K","-2.27%"
"May 23, 2010","39.08","38.79","39.64","38.79","89.78K","-1.36%"
"May 24, 2010","38.20","39.93","39.94","36.98","88.00K","-2.25%"
"May 25, 2010","36.47","36.69","37.86","35.66","208.36K","-4.53%"
"May 26, 2010","37.25","37.51","37.87","36.83","494.80K","2.14%"
"May 27, 2010","37.43","37.80","38.08","37.22","315.57K","0.48%"
"May 30, 2010","37.91","38.40","38.46","37.57","118.02K","1.28%"
"May 31, 2010","37.65","37.80","38.00","37.10","61.50K","-0.69%"
"Jun 01, 2010","37.12","37.57","37.57","36.98","63.33K","-1.41%"
"Jun 02, 2010","37.25","36.73","37.83","36.69","276.40K","0.35%"
"Jun 03, 2010","37.60","37.80","38.34","37.46","171.06K","0.94%"
"Jun 06, 2010","36.59","36.76","37.19","36.10","55.83K","-2.69%"
"Jun 07, 2010","36.79","36.69","37.28","36.48","201.19K","0.55%"
"Jun 08, 2010","37.11","36.80","37.28","36.80","145.82K","0.87%"
"Jun 09, 2010","37.56","37.28","37.87","37.28","55.01K","1.21%"
"Jun 10, 2010","37.70","37.19","37.87","37.19","151.87K","0.37%"
"Jun 13, 2010","37.83","37.86","37.87","37.46","23.50K","0.34%"
"Jun 14, 2010","37.98","37.86","38.45","37.86","198.05K","0.40%"
"Jun 15, 2010","38.43","38.40","38.64","37.90","117.55K","1.18%"
"Jun 16, 2010","38.62","38.90","38.90","38.46","32.64K","0.49%"
"Jun 17, 2010","39.05","38.87","39.28","38.82","88.93K","1.11%"
"Jun 20, 2010","39.60","39.17","39.65","39.11","287.71K","1.41%"
"Jun 21, 2010","40.05","39.65","40.36","39.59","293.10K","1.14%"
"Jun 22, 2010","39.75","39.65","39.96","39.40","149.47K","-0.75%"
"Jun 23, 2010","39.49","39.35","39.94","39.23","54.61K","-0.65%"
"Jun 24, 2010","39.27","40.06","40.06","38.96","18.05K","-0.56%"
"Jun 27, 2010","40.34","39.62","40.83","39.62","98.38K","2.72%"
"Jun 28, 2010","40.24","40.24","40.80","39.65","165.94K","-0.25%"
"Jun 29, 2010","39.14","39.65","39.65","38.46","308.46K","-2.73%"
"Jun 30, 2010","39.67","38.79","40.30","38.47","233.95K","1.35%"
"Jul 04, 2010","38.83","39.11","39.65","38.34","33.39K","-2.12%"
"Jul 05, 2010","37.76","38.82","38.82","37.28","200.22K","-2.76%"
"Jul 06, 2010","38.60","38.72","38.98","38.02","96.20K","2.22%"
"Jul 07, 2010","37.94","38.17","38.82","37.57","249.12K","-1.71%"
"Jul 08, 2010","38.85","38.70","39.05","38.46","192.39K","2.40%"
"Jul 11, 2010","39.39","38.88","39.65","38.88","13.62K","1.39%"
"Jul 12, 2010","38.94","39.10","39.20","38.70","107.75K","-1.14%"
"Jul 13, 2010","39.44","39.05","40.23","38.62","102.85K","1.28%"
"Jul 14, 2010","39.53","40.08","40.18","39.34","128.02K","0.23%"
"Jul 15, 2010","39.60","40.08","40.08","39.05","112.41K","0.18%"
"Jul 18, 2010","39.06","39.63","39.63","38.93","4.34K","-1.36%"
"Jul 19, 2010","38.95","38.93","39.05","38.91","23.09K","-0.28%"
"Jul 20, 2010","38.98","39.28","39.63","38.72","13.49K","0.08%"
"Jul 21, 2010","38.81","38.52","39.05","38.51","130.65K","-0.44%"
"Jul 22, 2010","39.04","38.93","39.06","38.66","82.55K","0.59%"
"Jul 25, 2010","39.11","39.47","39.47","38.88","73.23K","0.18%"
"Jul 26, 2010","39.49","39.05","40.12","39.05","257.45K","0.97%"
"Jul 27, 2010","40.33","39.65","40.83","39.65","239.88K","2.13%"
"Jul 28, 2010","39.75","40.24","40.24","39.11","177.92K","-1.44%"
"Jul 29, 2010","40.16","39.14","40.41","39.14","355.66K","1.03%"
"Aug 01, 2010","40.17","40.50","40.53","39.70","176.44K","0.02%"
"Aug 02, 2010","40.07","40.17","40.76","39.54","265.06K","-0.25%"
"Aug 03, 2010","39.70","40.12","40.12","39.65","136.43K","-0.92%"
"Aug 04, 2010","39.56","39.65","39.91","39.35","141.86K","-0.35%"
"Aug 05, 2010","39.68","40.20","40.21","39.50","270.73K","0.30%"
"Aug 08, 2010","40.18","40.20","40.38","39.71","61.69K","1.26%"
"Aug 09, 2010","40.34","40.18","40.71","40.18","248.04K","0.40%"
"Aug 10, 2010","40.79","40.70","41.12","40.27","235.95K","1.12%"
"Aug 11, 2010","40.42","40.24","40.80","40.24","111.16K","-0.91%"
"Aug 12, 2010","40.32","40.24","40.53","40.06","105.11K","-0.25%"
"Aug 15, 2010","39.91","39.94","40.30","39.56","66.61K","-1.02%"
"Aug 16, 2010","39.60","39.65","39.71","39.51","175.66K","-0.78%"
"Aug 17, 2010","39.79","39.72","40.17","39.59","45.85K","0.48%"
"Aug 18, 2010","39.85","39.92","39.94","39.67","19.65K","0.15%"
"Aug 19, 2010","39.79","39.88","40.00","39.65","158.80K","-0.15%"
"Aug 22, 2010","39.64","39.70","39.70","39.59","4.94K","-0.38%"
"Aug 23, 2010","40.17","39.94","40.33","39.78","119.25K","1.34%"
"Aug 24, 2010","39.92","39.70","40.00","39.67","17.93K","-0.62%"
"Aug 25, 2010","39.51","39.76","39.79","39.16","47.67K","-1.03%"
"Aug 26, 2010","39.65","39.65","39.84","39.57","184.22K","0.35%"
"Aug 29, 2010","39.53","39.47","39.58","39.47","32.39K","-0.30%"
"Aug 30, 2010","39.42","39.64","39.79","39.07","114.22K","-0.28%"
"Aug 31, 2010","39.27","39.42","39.63","39.05","208.02K","-0.38%"
"Sep 01, 2010","39.72","39.53","39.88","39.53","270.04K","1.15%"
"Sep 02, 2010","39.70","39.79","39.85","39.54","105.73K","-0.05%"
"Sep 05, 2010","39.65","39.85","39.85","39.44","8.95K","-0.13%"
"Sep 06, 2010","39.48","39.65","39.65","39.35","261.22K","-0.43%"
"Sep 07, 2010","39.16","39.35","39.35","38.79","183.81K","-0.81%"
"Sep 08, 2010","39.09","39.52","39.52","38.70","226.27K","-0.18%"
"Sep 13, 2010","40.10","39.60","40.83","39.60","347.70K","2.58%"
"Sep 14, 2010","40.66","40.30","40.85","40.06","687.49K","1.40%"
"Sep 15, 2010","40.35","40.53","40.83","39.95","140.42K","-0.76%"
"Sep 16, 2010","40.28","39.97","40.71","39.97","113.23K","-0.17%"
"Sep 19, 2010","41.01","40.83","41.37","40.83","192.37K","1.81%"
"Sep 20, 2010","41.27","41.12","41.42","41.12","174.66K","0.63%"
"Sep 21, 2010","41.95","41.42","42.34","41.42","194.99K","1.65%"
"Sep 22, 2010","42.48","42.31","42.83","42.01","364.68K","1.26%"
"Sep 23, 2010","42.83","42.88","43.03","42.62","310.31K","0.82%"
"Sep 26, 2010","42.60","42.86","43.20","42.18","142.49K","-0.54%"
"Sep 27, 2010","41.54","42.60","42.60","40.83","151.61K","-2.49%"
"Sep 28, 2010","41.69","41.65","41.98","41.41","32.41K","0.36%"
"Sep 29, 2010","42.12","41.89","42.81","41.83","691.53K","1.03%"
"Sep 30, 2010","41.88","42.08","42.09","41.72","141.19K","-0.57%"
"Oct 03, 2010","41.92","41.83","42.03","41.72","254.28K","0.10%"
"Oct 04, 2010","42.23","42.54","42.56","42.01","321.02K","0.74%"
"Oct 05, 2010","41.47","43.38","43.38","40.77","144.58K","-1.80%"
"Oct 07, 2010","41.86","42.27","42.27","41.54","82.59K","0.94%"
"Oct 10, 2010","41.43","41.28","41.77","41.00","50.17K","-1.03%"
"Oct 11, 2010","41.58","41.15","41.84","40.86","183.64K","0.36%"
"Oct 12, 2010","41.74","41.01","42.02","41.01","145.49K","0.38%"
"Oct 13, 2010","42.61","42.08","43.15","42.08","232.32K","2.08%"
"Oct 14, 2010","42.08","42.69","42.69","41.73","65.17K","-1.24%"
"Oct 17, 2010","42.24","42.08","42.38","41.98","48.35K","0.38%"
