,domain
5,www.jarir.com
9,www.etisalat.ae
13,www.nahdionline.com
15,www.dubaidutyfree.com
16,eurekaselect.com
17,www.saco.sa
21,www.speedyservices.com
22,naqelexpress.com
28,www.malloftheemirates.com
29,www.cobone.com
31,www.marhabaservices.com
33,www.goldenscent.com
35,www.toypro.com
38,chefaa.com
40,gccgamers.com
41,neelwafurat.com
42,almanea.sa
44,track24.net
47,doduae.com
49,www.jawwy.sa
50,www.rayashop.com
51,www.theentertainerme.com
53,alhaddadshop.com
55,www.ferrariworldabudhabi.com
57,www.vperfumes.com
59,www.yasmarinacircuit.com
61,ae.pricena.com
64,danube.sa
66,gccoupons.com
67,cartlow.com
72,daleelstore.com
74,cairosales.com
75,www.electronicfirst.com
77,alkhabeershop.com
79,investsaudi.sa
83,waffarha.com
84,www.justlife.com
88,www.elarabygroup.com
89,abdulwahed.com
90,www.axiomtelecom.com
92,emaxme.com
93,www.dubaiphone.net
94,www.tradelinestores.com
95,expandcart.com
96,www.automalluae.com
98,www.al-dawaa.com
99,www.panemirates.com
100,rasseed.com
101,www.binsina.ae
102,phonezonestore.com
103,swsg.co
104,sokkat-alteeb.com
105,www.damasjewellery.com
106,pwrxstore.com
107,partcomap.com
109,www.idealz.com
112,brantu.com
113,bateel.com
114,telr.com
117,oudamoudi.com
119,www.dubaipetfood.com
120,lazurde.com
121,samawa.ae
122,www.musafir.com
124,tamkeenstores.com.sa
125,elbadrgroupeg.store
127,codeprostore.com
131,www.brunobanani.com
133,www.asrar-co.com
134,egyptlaptop.com
135,www.tokyogames.com
136,www.mymart.com.sa
137,www.electroon.com
138,www.rpgstash.com
139,alsanidi.com.sa
140,www.epson-middleeast.com
141,www.dubaivacancy.ae
143,socpa.org.sa
146,draljamal.com
148,sorrah.sa
149,goldzonecollection.com
150,www.barakatalan.com
151,barakatalan.com
153,sa.pricena.com
155,kitronic-store.com
156,alhabibshop.com
158,www.alershadonline.com
159,ajdur.com
160,www.amanstores.com
164,wzayef.net
165,chargeasap.com
167,sfc.org.sa
173,elghazawy.com
174,www.louvreabudhabi.ae
177,www.dreamdays.ae
