name,label
www.crispspreads.com,1
www.maisondeondubai.com,
popdubai.ae,1
ha.eohud.com,1
couponzoon.com,
my-fun-car.com,1
happy.gift,1
mapleing.com,1
www.dhowcruisetour.net,
cryptoneedz.myshopify.com,0
theh.ae,1
erpotx.com,
royalwipes.ae,1
elksa.net,1
dc4t.com,
pastelliscarpe.com,1
m-arabia.com,1
knollcases.com,1
care.org.sa,0
jeans-closet.com,0
kivashop.com,1
asbar-store.com,
birkahala.org.sa,0
mousaffa.com,1
sportghornatah.com,1
www.mariners.ae,1
mutgn.com,1
provisionavl.com,
www.louchedoree.com,
chevalperfume.com,1
okailygifts.com,
bestraa.com,1
bgstoreksa.com,
nojomnebras.com,
www.bucklesandbelts.ae,
www.balancedwellnesslifestylecoaching.com,0
vavci.ae,1
thahabdates.com,
albajaly.com,
www.tanionlineshop.com,
www.blackut.com,
www.dubaityreshop.com,
www.luminousemart.com,
cosmosfragrances.com,
www.i-techegypt.com,1
southspace1.com,
binmady.com.sa,
jiblhoud.com,
investama.co,
shawaheen.com,
taleedaloud.com,
superioradv.co,
teebaltybeen.com,
bridgesspeechcenter.ae,
ocean7a.com,
scar11.com,
hreer.net,
www.acpartsdubai.com,
spwme.ae,
www.kechiq.ae,
bahannoisp.com,
adriangroup.net,
arjsa.com,
speedtouchadsl.net,
wosulstage.com,
alruknalshami.com,
burnleyrochetravels.com,
joannadahdah.com,
www.anastaciayoga.com,
dubaievasion.com,
scrub-box.com,
www.astservicedxb.com,
mrad-iq.com,
mubtakr.com,
iwearcakes.myshopify.com,
tmkkun.com,
www.andiamo.club,
anamelproducts.com,
nwassl.com,
twinklekshop.com,
techzm.net,
promise-ksa.com,
easyfutuer.com,
krakalzhiri.com,
roudstore.com,
rockedcme.com,
psrc.org.sa,
curveburger.com,
quick-cod.com,
shoemaker.sa,
emeraldstore.ae,
www.alpine-qt.com,
q4stores.com,
www.stemlab-uae.com,
saudivapers.com,
blackluxurysa.com,
www.alwanmed.com,
egyptdarts.com,
hassanmohamedfazlani.com,
adaptgarments.com,
8msa.com,
overthemoon.ae,
bestdxbmovers.com,
sehaasouq.com,
high-offers.com,
pdf.ae,
spacehof.com,
thambapanni.net,
tanmiyahergah.com,
marielauren.com,
odiliatechnologies.com,0
www.wtofame.com,
nabatksa.com,
aloneperfumes.com,
ar.drahmedmohsin.com,
adenmedical.com,
baraaqa.com,
crochetwithandrea.com,
alhadaya.net,
homozenia.com,
gotoevergreen.com,
aljawaherengineering.com,
bodour-acc.com,
www.hamacdubai.com,
jazeratalahlam.com,
husnshop.com,
supervisionopticaluae.com,
pinpickofficial.com,
lualuz.com,
tafneenprint.com,
printshop.sa,
emacreatives.com,
petspotsa.com,
www.brightelite.ae,
flaskcr.com,
archers-sa.com,
jedsneakers.com,
bestbyte.ae,
ahomevacation.com,
www.mkwatches.me,
femi-sa.com,
loveaurae.com,
assent.co.ae,
luxuriant.me,
lplansa.com,
minibites-shop.com,
www.craftsycakes.com,
sara4sala.com,
alhussanperfume.com,
itsminesa.com,
sa.bevarabia.com,
www.silverskincoffees.com,
nfhat7aram.com,
thetotaloffice.com,0
sawaytrading.ae,
ebnayed.com,
eg.looliacloset.com,
masterpiecessilver.com,
organicburner.net,
hendstudio.myshopify.com,
saveanddeal.com,
sharjahlawyer.com,
eyecarevisions.com,
www.camlist.ae,
bunaa99.com,
elqimma-sa.com,
www.canvaegypt.com,1
hanmakeup.com,
lavunton.com,
milkbasicwear.com,
www.alwasail.com,
chiyummy.com,
chef2chef.online,
fidoza.store,
africaneastern.com,
gozl.com.sa,
rosehonyksa.com,
www.dejiny-eg.com,
generaltopspeed.com,
www.unitedarakan.com,
al-muharraq.com,
osos.net.sa,
daboosksa.com,
musclesfuture.com,
duopillars.com,
nevicaonline.com,
www.shapenwear.com,1
